Site,Name,Lat,Lon,Start,End,Years, %,AWS
9063,BADGINGARRA,-30.3903,115.5039,Apr 1956,Dec 2007,44.5,85,  N
9037,BADGINGARRA RESEARCH STN,-30.3381,115.5394,Apr 1962,Nov 2017,54.1,93,  Y
9236,BAILUP STUD,-31.7222,116.2747,Mar 1975,Mar 1986,9.6,86,  N
10853,BAKER ROCK,-33.1167,118.2333,May 1923,Dec 1941,2.3,12,  N
10244,BAKERS HILL,-31.7469,116.4561,May 1964,Nov 2017,50.7,91,  N
9075,BALAMARRA,-30.4,115.65,Oct 1920,Feb 1929,8.4,100,  N
11018,BALBINIA,-33.1,123.6,Mar 1903,Mar 1928,21.4,85,  N
7121,BALD HILL,-24.7,119.75,Sep 1935,Nov 1945,7.4,72,  N
4003,BALFOUR DOWNS,-22.8,120.8625,Jun 1907,Jul 1995,61.6,70,  N
9866,BALGA,-33.6833,120.7167,Apr 1970,Aug 1977,7.4,100,  N
11045,BALGAIR,-31.09,125.6589,Jan 1983,Apr 2012,28.7,96,  N
8022,BALGERBINE,-30.2911,116.3306,May 1959,Aug 2017,57.8,99,  N
13007,BALGO HILLS,-20.1417,127.9867,Jan 1940,Feb 2016,68.7,89,  N
9505,BALINGUP,-33.7864,115.9817,Oct 1924,Mar 2017,90.9,94,  N
9669,BALINGUP - LILYDALE,-33.7108,115.8017,Nov 1956,Jun 1995,38.5,99,  N
10003,BALKULING,-31.9833,117.1,Jun 1913,Apr 1955,40.8,97,  N
10295,BALKULING NORTH,-31.9067,117.2336,Sep 1968,Jul 2017,48.8,98,  N
8001,BALLA,-28.0603,114.9461,Jan 1926,Dec 2001,75.8,100,  N
4051,BALLA BALLA,-20.6,117.8,Jul 1898,Dec 1926,12.2,43,  N
8268,BALLA NORTH,-27.97,114.9686,Jan 1958,Jan 2004,46,100,  N
11017,BALLADONIA,-32.4569,123.8653,Feb 1891,Nov 2017,92.7,72,  N
11000,BALLADONIA 2,-32.45,123.8667,Jan 1943,Dec 1975,33,100,  N
10704,BALLAYING,-33.3281,117.5628,Nov 1959,Oct 2017,57.6,99,  N
8002,BALLIDU,-30.5967,116.7714,Jan 1911,Nov 2017,104.7,95,  N
8003,BALLIDU EAST,-30.5922,116.9194,Jan 1930,Mar 1981,39.7,77,  N
8004,BALLINE,-28.0058,114.2206,Jun 1930,Sep 2017,84.6,97,  N
10509,BALLY BALLY,-32.18,117.0983,Feb 1904,Dec 1976,66.1,91,  N
10168,BALLYMENA,-31.7,117.2,Nov 1901,Feb 1924,14.5,65,  N
8032,BALMAHA,-29.0975,116.15,Jan 1930,May 1984,43.9,80,  N
5040,BALMORAL,-21.1594,116.1197,Dec 1912,Oct 2017,74,70,  N
4004,BAMBOO CREEK,-20.9264,120.2075,Jul 1898,Nov 2017,88.8,74,  N
4005,BAMBOO SPRINGS,-22.0517,119.6325,Sep 1905,Oct 1978,70.8,97,  N
9782,BANDICOOT NURSERY,-34.7406,117.4233,Oct 1968,Aug 1988,19.7,97,  N
12216,BANDYA,-27.7353,122.1761,Jan 1963,Oct 1974,11.7,99,  N
12285,BANDYA NORTH,-27.5489,121.8286,Nov 1980,Jun 2015,26.2,74,  N
9506,BANGALUP,-34.4678,116.9169,Jan 1920,Oct 2017,97.3,99,  N
12280,BANJAWARN,-27.7036,121.6131,Apr 1975,Aug 2017,33.8,79,  N
12309,BANKINA,-33.2503,122.0306,Jan 1992,Oct 1995,3.8,96,  N
9507,BANNISTER,-32.6836,116.5194,Jan 1885,Nov 2017,109.2,82,  N
9742,BANNISTER NORTH,-32.5814,116.4442,Jun 1963,Jun 1979,14.4,77,  N
9973,BANYULA,-34.8675,118.2156,Jan 1980,Jul 2017,36,89,  N
9144,BARAMBA,-31.0769,115.5083,Apr 1970,Jun 2017,46.8,99,  N
8005,BARBERTON,-30.7294,116.02,Aug 1911,Nov 2017,103.8,97,  N
8301,BARBERTON EAST,-30.7547,116.1303,May 2012,Nov 2017,5.6,97,  N
12123,BARDOC,-30.3,121.3,Nov 1897,May 1932,22.1,64,  N
7000,BARNONG,-28.6294,116.2814,Oct 1902,May 2012,103.1,91,  N
10510,BAROOGA,-33.1642,116.7992,Jan 1911,Sep 2017,106.7,100,  N
10715,BARRACUP,-34.1769,117.8347,Aug 1915,Sep 2017,58.3,56,  N
12317,BARRAMBIE,-27.5517,119.2275,Aug 1995,Dec 2000,5.2,93,  N
4077,BARRAMINE,-20.7167,120.85,Sep 1914,Nov 1918,4.2,98,  N
9599,BARRETT MEADOWS,-34.98,117.6322,Nov 1914,Nov 2017,98.9,95,  N
10716,BARRINGTON,-32,117,Jan 1896,Jun 1919,14.1,60,  N
5058,BARROW ISLAND,-20.8206,115.3931,Nov 1967,Jan 2000,28.3,84,  Y
5094,BARROW ISLAND AIRPORT,-20.874,115.4066,Feb 1999,Nov 2017,18.8,96,  Y
11034,BARVESK,-31.6436,124.935,Jan 1970,Oct 2017,46.3,94,  N
13034,BARWIDGEE,-27.0336,120.9233,Jan 1988,Oct 2017,17.7,59,  N
10644,BATHURST,-33.1256,118.1961,Nov 1913,Sep 2017,103.3,99,  N
9095,BAYSWATER,-31.9,115.9,Jan 1921,Jun 1933,12.3,99,  N
10004,BEACON,-30.4492,117.865,Dec 1927,Apr 2014,75.4,85,  N
3000,BEAGLE BAY,-16.9806,122.6667,Jul 1902,Mar 2015,91.8,81,  N
8187,BEALIBA DOWNS,-30,116.4,Aug 1934,Oct 1944,10.2,99,  N
8188,BEATININE,-28.3,114.8,May 1914,Sep 1923,7.3,77,  N
8209,BEATTY SIDING,-28.6,115.6,Aug 1910,Dec 1924,14.4,100,  N
10512,BEAUFORT,-33.5233,117.0483,Sep 1924,Jan 1981,47,83,  N
10710,BEAUFORT PLAINS,-34.3817,118.8233,Jan 1961,Dec 1973,13,100,
9861,BEAUFORT PLN,-34.3833,118.8167,Jan 1961,Nov 1978,17.9,100,  N
10816,BEAUMONT,-33.2064,117.6994,Jun 2003,Nov 2017,14.3,84,  N
12297,BEAUMONT WEST,-33.4853,122.5867,Jan 1982,Nov 2017,35.9,96,  N
2047,BEDFORD DOWNS,-17.2631,127.4617,May 1948,Sep 2016,30.9,45,  N
2072,BEDFORD DOWNS AIRSTRIP,-17.2797,127.4648,Sep 2011,Nov 2017,6.3,98,  N
9794,BEDFORD HARBOUR,-33.8039,120.6375,May 1970,May 2003,31.6,95,  N
9239,BEDFORDALE,-32.1753,116.0542,Oct 1993,Jul 2014,20.8,97,  N
4100,BEDOUT ISLAND,-19.5894,119.1,Jun 2012,Sep 2012,0.3,7,  Y
7001,BEEBYN,-26.9683,117.9031,Mar 1910,Nov 2017,44.3,41,  N
3091,BEEFWOOD PARK,-18.9894,125.8478,Jan 1996,Dec 2011,14.3,86,  N
9639,BEELA,-33.2333,115.9167,Feb 1948,Oct 1949,1,55,  N
10717,BEENING,-32.5,117.7,Jun 1913,Jul 1925,11.8,97,  N
9186,BEENYUP,-31.7858,115.7772,Apr 1979,Apr 2009,29.8,98,  N
12225,BEETE,-32.7,121.7167,Jan 1931,Jul 1931,0.6,100,  N
7002,BELELE,-26.3611,118.0283,Jan 1899,Feb 2006,96.8,90,  N
10006,BELKA,-31.7269,118.1103,Jan 1912,Nov 2017,105.8,99,  N
8006,BELLARANGA,-29.3333,115.5,Jan 1932,Aug 1969,31.6,84,  N
10914,BELLAVISTA,-34.2064,117.7117,Jan 1998,Dec 2003,5.9,98,  N
8309,BELLENDAINE,-29.3049,115.6552,Nov 2001,Nov 2017,16.1,99,  N
10718,BELLEVUE,-33.2667,117.6167,Feb 1915,Dec 1933,16.6,88,  N
9003,BELVOIR,-31.8,116,Jan 1886,Jan 1962,57.3,75,  N
9896,BEN AVON,-34.7103,118.3764,Jul 1988,Jun 1998,10,98,  N
10506,BENALLA,-34.1467,117.3961,Jul 1915,May 2017,85.4,82,  N
10007,BENCUBBIN,-30.8081,117.8603,Nov 1915,Nov 2017,91.9,90,  N
10169,BENCUBBIN NORTH,-30.7,117.9,Sep 1922,Dec 1936,14.3,100,  N
10513,BENDERING,-32.3869,118.2622,Jun 1929,Oct 2017,88.4,100,  N
10514,BENDERING POST OFFICE,-32.3833,118.3,Aug 1928,Aug 1949,17.8,85,  N
10170,BENJABERRING,-31.15,117.2833,Jan 1909,Dec 1938,30,100,  N
9781,BENJINUP,-33.7833,116.3333,Jan 1937,Dec 1938,2,100,  N
9161,BENTLEY (CURTIN),-32.0022,115.8861,Aug 1971,Feb 1987,15.6,94,  N
10892,BERAKIN FOREST,-31.9,116.4,Aug 1931,Jan 1936,4,88,  N
10158,BERIA,-30.4072,118.2797,Nov 1935,Nov 2017,78.1,95,  N
7003,BERINGARRA,-26.0417,116.9528,Apr 1883,Nov 2017,86.3,64,  N
8008,BERKSHIRE VALLEY,-30.5831,116.135,Jan 1907,Nov 2017,110.3,99,  N
8189,BERKSHIRE VALLEY POST OFFICE 1,-30.6,116.2,Jan 1916,Jun 1919,3.5,100,  N
6073,BERNIER ISLAND,-24.8333,113.3,Feb 1902,Jan 1918,8.9,56,  N
10245,BERRING,-31.3042,116.9019,Jun 2011,Nov 2017,6.5,97,  N
10269,BERRING,-31.2708,116.9231,Aug 1968,Aug 1997,28.3,97,  N
10008,BERRY BROW,-31.8167,116.5333,Apr 1907,Dec 1950,42.8,98,  N
10515,BEVERLEY,-32.1083,116.9247,Jan 1886,Nov 2017,113.3,86,  N
10719,BEVERLEY RAILWAY,-32.1,116.9,Mar 1888,Nov 1891,0.5,13,  N
3062,BEVERLEY SP,-16.5833,125.4833,Sep 1959,Dec 1967,8.3,100,  N
9240,BICKLEY,-32.0072,116.1369,Jan 1969,Nov 2017,48.5,98,  Y
3104,BIDAN,-17.645,123.1678,Jan 2005,Dec 2013,3.2,30,  N
9508,BIDDELIA,-34.25,115.75,Jan 1907,Jun 1971,57.8,89,  N
9692,BIDELLIA,-34.2267,115.7597,May 1999,Oct 2017,18.4,96,  N
6000,BIDGEMIA,-25.0417,115.3092,Nov 1889,Feb 2017,109.9,86,  N
3030,BIDYADANGA,-18.6844,121.7803,Mar 1891,Nov 2017,113,89,  N
7004,BIG BELL,-27.35,117.6667,Apr 1939,Nov 1954,14.3,91,  N
10834,BILBARIN,-32.2,117.9667,Mar 1937,Jun 1945,2.5,30,  N
10807,BILBARIN,-32.1842,117.9675,Oct 1967,May 2017,48.5,97,  N
6001,BILLABALONG,-27.4231,115.8347,Jan 1901,Dec 2014,109.2,95,  N
6092,BILLABONG ASA,-26.8156,114.6133,Jan 1969,Sep 1977,7.8,88,  Y
2051,BILLILUNA,-19.5558,127.6658,May 1971,Dec 2015,19.7,43,  N
13029,BILLINNOOKA,-23.0333,120.9,Jan 1960,Mar 1974,14.2,99,  N
10260,BIMBIJY,-29.6981,118.0397,Nov 1921,Sep 2007,7.6,9,  N
8009,BINDI BINDI EAST,-30.6286,116.3861,Feb 1929,Nov 2017,73.2,79,  N
8202,BINDI BINDI NORTH,-30.6221,116.3795,Jul 2002,Nov 2017,15.1,96,  N
9112,BINDOON,-31.3928,116.0875,Apr 1952,Nov 2017,32.1,48,  N
10301,BINDOON ARMY,-31.2458,116.2714,Feb 1987,Apr 2011,21.3,78,  N
9269,BINDOON ARMY GATE,-31.3397,116.26,Apr 2011,Oct 2017,6.2,81,  N
9004,BINDOON KEANEY COLLEGE,-31.3414,116.2133,Dec 1949,May 1982,25.4,78,  N
9076,BINDOON SOUTH,-31.4,116.1,Aug 1932,Dec 1938,6.4,100,  N
9650,BINNINGUP,-33.1517,115.6917,May 1998,Jul 2002,4.3,99,  N
8010,BINNU,-28.0403,114.675,Oct 1929,Nov 2015,81.8,95,  N
8272,BINNU WEST,-27.9972,114.3036,Jul 1978,Nov 1999,21.1,98,  N
6002,BINTHALYA,-24.685,114.8358,Jan 1904,Jul 1970,40.2,60,  N
10259,BIRAHLEE,-31.3236,116.37,Jun 1968,Dec 2007,39.6,100,  N
12005,BLACKHILL,-28.0667,119.5167,Jan 1926,Apr 1975,45.7,93,  N
13016,BLACKSTONE RANGE,-26.1,128.2,Dec 1955,Jan 1957,1.2,100,  N
9682,BLACKWATTLE,-34.3667,117.05,Jan 1902,May 1919,11.8,67,  N
3033,BLINA,-17.7472,124.5283,Mar 1938,Dec 2016,58.4,74,  N
10247,BLUE VALLEY,-31.7167,116.5333,Nov 1964,Dec 1967,3.2,100,  N
8011,BLUFF POINT,-28.755,114.6133,Jan 1942,Sep 1973,29.4,91,  N
9686,BLYTHWOOD,-32.7,115.9,Dec 1906,Apr 1942,35.1,99,  N
12006,BODALLIN,-31.3667,118.85,Dec 1899,Sep 1976,46,60,  N
12221,BODALLIN,-31.3692,118.8361,Sep 1968,Dec 2014,43.7,94,  N
12226,BODALLIN NORTH,-31.1664,118.8878,Jun 1969,Dec 2014,45.2,96,  N
12026,BODALLIN SOUTH,-31.6419,118.9019,May 1930,Nov 2017,82.4,94,  N
109516,BODDINGTON NORTH,-32.7786,116.4803,Dec 2011,Nov 2017,6,99,  N
9509,BODDINGTON SHIRE,-32.8094,116.4581,Sep 1915,Oct 2017,94.3,90,  N
2002,BOHEMIA DOWNS,-18.8833,126.2333,May 1906,Sep 1959,41.1,77,  N
9673,BOKERUP,-34.2511,116.8767,Nov 1959,Jul 2017,57.6,99,  N
10009,BOLGART,-31.2744,116.5092,Dec 1906,Nov 2017,96.5,86,  N
10064,BOLGART BIN,-31.2747,116.5075,Dec 2002,Nov 2017,14.8,96,  N
4006,BONNEY DOWNS,-22.1828,119.935,Jan 1907,Nov 2017,108.6,97,  N
12173,BONNIE DOON,-33.5,121.6667,Dec 1899,Jun 1939,19.3,49,  N
10010,BONNIE DOON,-30.9386,117.9642,Jan 1923,Feb 2015,90.3,98,  N
10011,BONNIE ROCK,-30.4722,118.3819,Nov 1935,Nov 2017,80.1,91,  N
11042,BOOANYA,-32.75,123.6,Jan 1925,Dec 1932,8,100,  N
6075,BOODALIA,-25.2,113.9,Sep 1921,Dec 1933,9.9,80,  N
7005,BOODANOO,-28.3,117.9,Sep 1910,Feb 1949,38.2,99,  N
4007,BOODARIE,-20.4,118.4667,Nov 1888,Sep 1973,72.8,86,  N
12007,BOODAROCKIN,-31.0603,118.8367,Jan 1935,Jun 2017,82.3,98,  N
10012,BOODJERAKINE,-31.5258,117.4064,Aug 1913,Sep 2017,104.2,100,  N
7006,BOOGARDIE,-28.0411,117.6703,Mar 1910,Dec 2015,85.6,81,  N
8148,BOOKARA,-29,114.9,Jan 1904,Jan 1951,44.3,94,  N
6076,BOOLAGOORDA,-26.3,114.25,Sep 1912,Dec 1919,7.1,97,  N
5000,BOOLALOO,-22.5833,115.85,Jul 1911,Jan 1951,38.3,97,  N
7007,BOOLARDY,-26.9844,116.5361,Jan 1891,Dec 2016,114.8,90,  N
6003,BOOLATHANA,-24.6525,113.6936,Jan 1897,Dec 2016,109.5,91,  N
6004,BOOLOGOORO,-24.3333,114.0242,Jan 1904,Dec 1976,70.2,96,  N
8190,BOOMGALA,-27.8,114.7,Apr 1912,Dec 1919,7.8,100,  N
12124,BOONDI,-31.2,120.4,Mar 1903,Nov 1926,13.3,56,  N
10517,BOONGADOO,-33.5,118,Sep 1936,Sep 1951,14.3,95,  N
12125,BOORABBIN,-31.2,120.3,Oct 1894,Oct 1964,17.6,25,  N
10013,BOORALAMING,-30.9,117.3,Sep 1911,Nov 1946,34.2,97,  N
10518,BOORALEE,-32.4006,118.6058,Sep 1922,Oct 2017,94.7,99,  N
8226,BOORAMBEE,-29.5833,115.3,Jan 1964,Apr 1969,4.9,92,  N
8182,BOOTENAL,-28.8667,114.7333,Feb 1900,Dec 1907,1.9,24,  N
12008,BOOYLGOO SPRING,-27.7228,119.9067,Jul 1922,Jul 2013,89.9,98,  N
10519,BORDEN,-34.0717,118.2628,Aug 1923,Nov 2017,93.8,98,  N
10520,BOSCABEL,-33.6614,117.0539,Jan 1916,Nov 2017,89.2,87,  N
6077,BOUNDARY STORE,-25.3,115.6,Sep 1918,May 1928,9.3,95,  N
2003,BOW RIVER,-16.87,128.1836,Dec 1945,Nov 1994,44.4,90,  N
9502,BOWELLING,-33.4167,116.4767,Nov 1919,Feb 1987,61.9,91,  N
8012,BOWES,-28.38,114.6706,May 1931,Feb 1989,39.3,68,  N
8013,BOWGADA,-29.3303,116.1433,Jan 1907,Nov 2017,104.9,94,  N
9638,BOWS FARM,-33.7,121.7,Dec 1918,Sep 1950,31.8,100,  N
10817,BOX GLEN,-34,118.9167,Jul 1968,Apr 1976,7.6,97,  N
10721,BOYALLING,-33.4,117.1,Jan 1921,Mar 1926,5.3,100,  N
9503,BOYANUP,-33.4825,115.7286,Feb 1903,Sep 2014,105.3,91,  N
9990,BOYANUP NORTH,-33.4777,115.7391,Jun 2003,Nov 2017,14.5,99,  N
9788,BOYATUP,-33.8144,122.2942,Mar 1906,May 1985,64.6,81,  N
10722,BOYNING,-32.8,117.5,Aug 1908,Dec 1945,37.4,100,  N
9504,BOYUP BROOK,-33.8325,116.3894,Aug 1913,Nov 2017,104.3,95,  N
10014,BRADFORDALE,-30.6056,117.5667,Sep 1924,Mar 1992,66.8,99,  N
10723,BRAEFIELD,-32.9833,117,Jul 1913,Aug 1930,17.2,100,  N
12107,BRAESIDE,-33.4226,121.9898,Jun 2002,Aug 2017,15.3,98,  N
8170,BRAESIDE 1,-28.5,115.65,Jul 1911,Dec 1950,39.3,99,  N
10521,BRAESIDE 2,-32.6667,116.8,Jan 1932,Feb 1976,38.6,87,  N
9672,BRAMLEY RES.STN.,-33.8933,115.085,Feb 1955,Jan 1983,27.9,100,  N
10118,BREAKELL,-31.9917,118.0264,May 1914,Oct 2017,95.9,93,  N
9539,BREAKSEA ISLAND,-35.0667,118.05,Jan 1907,Jun 1926,19.5,100,  N
9654,BREMER BAY,-34.3989,119.3786,Feb 1891,Nov 2017,85.9,67,  N
9751,BREMER BAY POST OFFICE,-34.4,119.4,Oct 1960,Jun 1969,8.8,99,  N
6005,BRICKHOUSE,-24.8208,113.7853,Nov 1903,Feb 2017,108.8,96,  N
6087,BRICKHOUSE WOOLSHED,-24.8167,113.8333,Jun 1966,Mar 1977,10.8,100,  N
9617,BRIDGETOWN,-33.9486,116.1311,Mar 1998,Nov 2017,19.8,97,  Y
9510,BRIDGETOWN COMPARISON,-33.9575,116.1375,Feb 1891,Aug 2012,102,84,  N
12232,BRISCOE VALE,-30.9833,118.9667,Feb 1925,Nov 1929,4.8,98,  N
12126,BROAD ARROW,-30.45,121.3,Mar 1898,Dec 1926,20.3,70,  N
12236,BRONTE,-31.25,119.5,Feb 1927,Dec 1930,3.9,99,  N
9903,BROOK FARM,-34.5889,116.3433,Sep 1971,Dec 1998,25,90,  N
9962,BROOKHAMPTON,-33.5925,115.8833,Mar 1995,Jun 2006,11.3,95,  N
3044,BROOKING SPRINGS,-18.1103,125.6431,Apr 1902,Nov 2015,31.3,27,  N
10015,BROOKLEA,-31.6,116.5,Jan 1946,Dec 1965,20,100,  N
10524,BROOKTON,-32.3728,117.0086,Feb 1907,Nov 2017,109.8,98,  N
9863,BROOKWOOD,-33.7167,116.7333,May 1967,Sep 1972,5.3,98,  N
3003,BROOME AIRPORT,-17.9475,122.2353,Aug 1939,Nov 2017,77.4,99,  Y
3083,BROOME BIRD OBSERVATORY,-17.9769,122.3431,Aug 1991,May 1997,5.8,99,  N
3089,BROOME COMPARISON,-17.9492,122.2339,Aug 1995,Jul 1998,1.9,49,  N
3002,BROOME POST OFFICE,-17.95,122.25,Jul 1889,Oct 1953,58.3,91,  N
3036,BROOME QUARANTINE STATION,-18,122.2167,Aug 1952,Nov 1952,0.3,99,  N
10525,BROOMEHILL,-33.8461,117.6386,Jan 1891,Nov 2017,111.3,86,  N
10526,BROOMEHILL EAST,-33.8269,117.8594,Sep 1921,Jun 2014,79.4,85,  N
9171,BROWNS LAKE,-32.1667,115.8333,May 1929,Dec 1935,6.7,100,  N
200784,BROWSE ISLAND,-14.1089,123.5472,May 1974,Sep 1974,0.3,59,  Y
10016,BRUCE ROCK,-31.8775,118.15,Oct 1914,Feb 2017,99.8,94,  N
10171,BRUCE ROCK SOUTH,-31.9,118.2,Nov 1913,Dec 1936,21.4,92,  N
9513,BRUNSWICK JUNCTION,-33.2136,115.85,Jan 1909,Oct 2017,108.8,98,  N
